TAXON_GROUP_NAME;YEAR;METIER;MONTH;VPUE
Engraulis encrasicolus;2015;OTB_CMT_18-24;5;0.0861505780112174
Engraulis encrasicolus;2015;OTB_CMT_24-40;1;9.78461730848861
Engraulis encrasicolus;2015;OTB_CMT_24-40;2;70.5604123359373
Engraulis encrasicolus;2015;OTB_CMT_24-40;3;77.6122232330839
Engraulis encrasicolus;2015;OTB_CMT_24-40;4;58.3000401708149
Engraulis encrasicolus;2015;OTB_CMT_24-40;5;4.98406764951838
Engraulis encrasicolus;2015;OTB_CST_18-24;1;0.313960271864198
Engraulis encrasicolus;2015;OTB_CST_18-24;2;0.936266073627868
Engraulis encrasicolus;2015;OTB_CST_18-24;3;0.983661069669334
Engraulis encrasicolus;2015;OTB_CST_18-24;4;0.364357720280268
Engraulis encrasicolus;2015;OTB_CST_18-24;5;0.240234506189121
Engraulis encrasicolus;2015;OTB_CST_18-24;6;0.426345561871775
Engraulis encrasicolus;2015;OTB_CST_18-24;7;0.302157411054169
Engraulis encrasicolus;2015;OTB_CST_18-24;8;0.208622013667658
Engraulis encrasicolus;2015;OTB_CST_18-24;9;0.0913625397426652
Engraulis encrasicolus;2015;OTB_CST_18-24;10;0.176473324112712
Engraulis encrasicolus;2015;OTB_CST_18-24;11;0.138694564764653
Engraulis encrasicolus;2015;OTB_CST_18-24;12;0.306200238021527
Engraulis encrasicolus;2015;OTB_CST_24-40;1;1314.97279602041
Engraulis encrasicolus;2015;OTB_CST_24-40;2;0.169461883247759
Engraulis encrasicolus;2015;OTB_CST_24-40;5;0.0204117313146977
Engraulis encrasicolus;2015;OTB_CST_24-40;11;0.0227827280634102
Engraulis encrasicolus;2015;OTB_GPV_24-40;1;175.028437760119
Engraulis encrasicolus;2015;OTB_GPV_24-40;2;0.425822557300297
Engraulis encrasicolus;2015;OTB_GPV_24-40;3;0.295669499355022
Engraulis encrasicolus;2015;OTB_GPV_24-40;4;0.183964536088999
Engraulis encrasicolus;2015;OTB_GPV_24-40;5;0.34510707168789
Engraulis encrasicolus;2015;OTB_GPV_24-40;6;17.0734478612571
Engraulis encrasicolus;2015;OTB_GPV_24-40;8;2.37578408626315
Engraulis encrasicolus;2015;OTB_GPV_24-40;9;68.9523813295554
Engraulis encrasicolus;2015;OTB_GPV_24-40;10;282.475573285633
Engraulis encrasicolus;2015;OTB_GPV_24-40;11;19.5467400122065
Engraulis encrasicolus;2015;OTB_GPV_24-40;12;191.92186373549
Engraulis encrasicolus;2015;OTB_GST_18-24;3;0.949353475099128
Engraulis encrasicolus;2015;OTB_GST_18-24;5;1.64993966251754
Engraulis encrasicolus;2015;OTB_GST_24-40;3;0.116428952673139
Engraulis encrasicolus;2015;OTB_GST_24-40;4;0.416465475347747
Engraulis encrasicolus;2015;OTB_XMA_18-24;7;1.94433125594561
Engraulis encrasicolus;2015;OTB_XST_24-40;1;57.0838945593559
Engraulis encrasicolus;2015;OTB_XST_24-40;3;0.681202171423972
Engraulis encrasicolus;2015;OTB_XST_24-40;4;0.309303681883854
Engraulis encrasicolus;2015;OTB_XST_24-40;5;0.161901687478226
Engraulis encrasicolus;2015;OTB_XST_24-40;6;0.185045638457463
Engraulis encrasicolus;2015;OTB_XST_24-40;8;0.444052896428675
Engraulis encrasicolus;2015;OTB_XST_24-40;9;0.997039896178294
Engraulis encrasicolus;2015;OTM_CMT_24-40;1;482.635295178221
Engraulis encrasicolus;2015;OTM_CMT_24-40;2;85.1477597421509
Engraulis encrasicolus;2015;OTM_CMT_24-40;3;215.60304789205
Engraulis encrasicolus;2015;OTM_CMT_24-40;4;467.123332707528
Engraulis encrasicolus;2015;OTM_CMT_24-40;5;148.701680666106
Engraulis encrasicolus;2015;OTM_CMT_24-40;6;720.867128872287
Engraulis encrasicolus;2015;OTM_CMT_24-40;7;91.6306775346789
Engraulis encrasicolus;2015;OTM_CMT_24-40;8;386.403850756101
Engraulis encrasicolus;2015;OTM_CMT_24-40;9;494.853173041744
Engraulis encrasicolus;2015;OTM_CMT_24-40;10;924.022323837288
Engraulis encrasicolus;2015;OTM_CMT_24-40;11;1163.14437938478
Engraulis encrasicolus;2015;OTM_CMT_24-40;12;961.130165764803
Engraulis encrasicolus;2015;OTM_CST_24-40;1;647.451608528196
Engraulis encrasicolus;2015;OTM_CST_24-40;10;568.77586666054
Engraulis encrasicolus;2015;OTM_CST_24-40;11;715.377837879265
Engraulis encrasicolus;2015;OTM_CST_24-40;12;783.142000021872
Engraulis encrasicolus;2015;OTM_GPV_24-40;1;626.213439922197
Engraulis encrasicolus;2015;OTM_GPV_24-40;2;434.507537558466
Engraulis encrasicolus;2015;OTM_GPV_24-40;6;221.135567013464
Engraulis encrasicolus;2015;OTM_GPV_24-40;8;53.243594527614
Engraulis encrasicolus;2015;OTM_GPV_24-40;9;154.690482835613
Engraulis encrasicolus;2015;OTM_GPV_24-40;10;248.218869628286
Engraulis encrasicolus;2015;OTM_GPV_24-40;11;511.08022192137
Engraulis encrasicolus;2015;OTM_GPV_24-40;12;554.825681396605
Engraulis encrasicolus;2015;OTM_XST_24-40;1;520.820782047227
Engraulis encrasicolus;2015;OTM_XST_24-40;2;644.281939751847
Engraulis encrasicolus;2015;OTM_XST_24-40;12;439.38452914541
Engraulis encrasicolus;2015;OTT_CST_24-40;3;0.147796466079301
Engraulis encrasicolus;2015;OTT_CST_24-40;4;0.155667537500584
Engraulis encrasicolus;2015;OTT_GPV_24-40;2;0.190505759338747
Engraulis encrasicolus;2015;OTT_GPV_24-40;10;0.0581591868028134
Engraulis encrasicolus;2016;OTB_CMT_18-24;3;1.23548257220365
Engraulis encrasicolus;2016;OTB_CMT_24-40;8;4.26669931212162
Engraulis encrasicolus;2016;OTB_CMT_24-40;10;54.0884234542751
Engraulis encrasicolus;2016;OTB_CST_18-24;1;0.0800380197968751
Engraulis encrasicolus;2016;OTB_CST_18-24;2;0.0487598969323758
Engraulis encrasicolus;2016;OTB_CST_18-24;3;0.39390726972871
Engraulis encrasicolus;2016;OTB_CST_18-24;4;0.258617708321024
Engraulis encrasicolus;2016;OTB_CST_18-24;5;0.387774765350027
Engraulis encrasicolus;2016;OTB_CST_18-24;6;0.195010720686863
Engraulis encrasicolus;2016;OTB_CST_18-24;7;0.101399164765148
Engraulis encrasicolus;2016;OTB_CST_18-24;8;0.133694579741902
Engraulis encrasicolus;2016;OTB_CST_18-24;9;0.115379056167434
Engraulis encrasicolus;2016;OTB_CST_18-24;11;0.159081956053896
Engraulis encrasicolus;2016;OTB_CST_24-40;1;0.0731682220806117
Engraulis encrasicolus;2016;OTB_CST_24-40;2;0.0695758138576441
Engraulis encrasicolus;2016;OTB_CST_24-40;3;0.0181582045947117
Engraulis encrasicolus;2016;OTB_CST_24-40;4;0.0263552608235228
Engraulis encrasicolus;2016;OTB_CST_24-40;7;0.0148858706563311
Engraulis encrasicolus;2016;OTB_CST_24-40;11;228.050117079039
Engraulis encrasicolus;2016;OTB_CST_24-40;12;0.271863890041021
Engraulis encrasicolus;2016;OTB_GPV_24-40;1;82.9248478241534
Engraulis encrasicolus;2016;OTB_GPV_24-40;4;0.17266217204561
Engraulis encrasicolus;2016;OTB_GPV_24-40;6;0.0243600501140687
Engraulis encrasicolus;2016;OTB_GPV_24-40;9;4.53236169948531
Engraulis encrasicolus;2016;OTB_GPV_24-40;11;1056.95500381209
Engraulis encrasicolus;2016;OTB_GPV_24-40;12;364.67958113222
Engraulis encrasicolus;2016;OTB_GST_24-40;4;0.0746971231908132
Engraulis encrasicolus;2016;OTB_GST_24-40;5;0.663759247191037
Engraulis encrasicolus;2016;OTB_GST_24-40;6;0.0619213284997803
Engraulis encrasicolus;2016;OTB_GST_24-40;7;0.107638903096329
Engraulis encrasicolus;2016;OTB_GST_24-40;9;0.243510975436696
Engraulis encrasicolus;2016;OTB_GST_24-40;11;0.974103238187166
Engraulis encrasicolus;2016;OTB_XST_24-40;3;0.134982418505507
Engraulis encrasicolus;2016;OTB_XST_24-40;4;0.22402687818415
Engraulis encrasicolus;2016;OTB_XST_24-40;6;0.0428915396095711
Engraulis encrasicolus;2016;OTB_XST_24-40;12;452.555295238851
Engraulis encrasicolus;2016;OTM_CMT_24-40;8;185.252253941112
Engraulis encrasicolus;2016;OTM_CMT_24-40;9;83.2419018141828
Engraulis encrasicolus;2016;OTM_CMT_24-40;10;254.595140305856
Engraulis encrasicolus;2016;OTM_CMT_24-40;11;806.851155406053
Engraulis encrasicolus;2016;OTM_CMT_24-40;12;1202.34358060461
Engraulis encrasicolus;2016;OTM_CST_24-40;1;1157.66099496006
Engraulis encrasicolus;2016;OTM_CST_24-40;2;1053.62944224215
Engraulis encrasicolus;2016;OTM_CST_24-40;3;2602.57237936772
Engraulis encrasicolus;2016;OTM_CST_24-40;10;370.137840746424
Engraulis encrasicolus;2016;OTM_CST_24-40;11;647.537718886551
